 Overall accuracy , correct: 10848, total 11549, Accuracy: 93.930210 %

 ,ADV,NOUN,NUM,ADP,PRT,DET,.,PRON,VERB,X,CONJ,ADJ,Correct, Total, Accuracy 
ADV,462,29,0,25,4,12,0,0,8,0,0,42,462,582,79.381443299%%,
NOUN,0,2584,0,1,0,21,1,0,22,0,0,24,2584,2653,97.3991707501%%,
NUM,0,19,135,1,0,3,0,0,0,0,0,0,135,158,85.4430379747%%,
ADP,9,3,0,1573,3,2,0,2,2,0,0,1,1573,1595,98.6206896552%%,
PRT,3,1,0,56,205,0,0,0,0,0,0,2,205,267,76.7790262172%%,
DET,0,1,0,8,0,1496,0,1,0,0,0,0,1496,1506,99.3359893758%%,
.,0,0,0,0,0,0,1299,0,0,0,0,0,1299,1299,100.0%%,
PRON,0,0,0,26,0,3,0,313,0,0,0,0,313,342,91.5204678363%%,
VERB,0,133,0,25,0,25,0,0,1525,0,0,8,1525,1716,88.8694638695%%,
X,0,2,0,0,0,2,0,0,1,0,0,0,0,5,0.0%%,
CONJ,2,0,0,0,0,3,0,0,0,0,408,0,408,413,98.789346247%%,
ADJ,12,123,0,0,0,25,1,0,4,0,0,848,848,1013,83.7117472853%%,
