 ,PRP$,VBG,FW,VB,POS,'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,),(,VBD,,,.,TO,PRP,RB,:,NNS,NNP,``,WRB,CC,PDT,RBS,RBR,VBN,EX,IN,WP$,CD,MD,NNPS,JJS,JJR,SYM,UH,Correct, Total, Accuracy 
PRP$,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,78,100.0%%,
VBG,0,139,0,0,0,0,0,0,4,0,0,8,0,0,0,26,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,139,191,72.7748691099%%,
FW,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,100.0%%,
VB,0,0,0,330,0,0,5,0,5,0,0,4,0,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,330,374,88.2352941176%%,
POS,0,0,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,90,97.7777777778%%,
'',0,0,0,0,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,110,99.0909090909%%,
VBP,0,0,0,17,0,0,152,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,185,82.1621621622%%,
WDT,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,38,48,79.1666666667%%,
JJ,0,0,0,3,0,0,0,0,629,0,0,33,0,0,0,84,0,0,0,1,1,0,0,6,0,1,15,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,629,781,80.5377720871%%,
WP,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,100.0%%,
VBZ,0,0,0,0,2,0,0,0,0,0,257,2,0,0,0,2,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,257,281,91.4590747331%%,
DT,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1021,1029,99.2225461613%%,
#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%%,
RP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0.0%%,
$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100.0%%,
NN,0,1,0,6,0,0,2,0,14,0,0,16,0,0,0,1550,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,1550,1616,95.9158415842%%,
),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,100.0%%,
(,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,100.0%%,
